doi,title,authors,year,journal,type,core,review_status,domains,finding,dichotomy_use,limitation,url
10.1007/978-3-032-24416-1_7,Mars Unveiled: Atmosphere and Surface,Steven Hobbs,2026,Sensing Mars: Remote Sensing to Understand the Red Planet,book-chapter,False,Discovery candidate — not screened,Atmosphere,,,,https://doi.org/10.1007/978-3-032-24416-1_7
10.1007/s11214-026-01278-7,Mars Express: Genesis and Infancy,J.-P. Bibring; J.-L. Bertaux; R. Bonnet; R. Bonneville; O. Korablev; Y. Langevin; L. Frécon; V. Poinsignon; R. Schmidt,2026,Space Science Reviews,journal-article,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.1007/s11214-026-01278-7
10.1007/s12583-026-0512-6,Water Retention in Martian Clays Under Modern Martian Environments,Zihan Zhang; Jie Meng; Li Wang; Dongpo Wang; Changdong Li; Helge Hellevang; Gongji Zhang,2026,Journal of Earth Science,journal-article,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.1007/s12583-026-0512-6
10.1016/j.asr.2025.12.052,Late Amazonian glaciation in the Acheron Fossae region of Mars,Tanisha Ghosh; Reet Kamal Tiwari; Rishitosh K. Sinha; Rajiv R. Bharti,2026,Advances in Space Research,journal-article,False,Discovery candidate — not screened,Surface and water,,,,https://doi.org/10.1016/j.asr.2025.12.052
10.1016/j.epsl.2026.119948,Linking planetary–scale spatio-temporal trends in magma compositions and volcanic resurfacing on Mars,Arka Pratim Chatterjee; Meredith Townsend; Christian Huber; James W. Head; Olivier Bachmann,2026,Earth and Planetary Science Letters,journal-article,False,Discovery candidate — not screened,Surface and water,,,,https://doi.org/10.1016/j.epsl.2026.119948
10.1016/j.epsl.2026.120002,Corrigendum to Gravity-driven fold-thrust belt at the Martian dichotomy Earth Planet. Sci. Lett. 671 (2025) 119645,F. Carboni; O. Karagoz; J.B. Ruh; T. Kenkmann,2026,Earth and Planetary Science Letters,journal-article,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.1016/j.epsl.2026.120002
10.1016/j.gca.2026.06.002,FTIR constraints on Martian mantle water from clinopyroxene in nakhlite and shergottite meteorites,Ioana-Bogdana Radu; Cécile Deligny; Henrik Skogby; Roland Stalder; Jeremy J. Bellucci; Martin J. Whitehouse,2026,Geochimica et Cosmochimica Acta,journal-article,False,Discovery candidate — not screened,Meteorite magnetism; Meteorite geochemistry,,,,https://doi.org/10.1016/j.gca.2026.06.002
10.1016/j.icarus.2025.116833,The influence of Mars’ continental-scale topographic structures on its hemispheric asymmetry in baroclinic wave activity,Márton Mester; R. John Wilson; Jeffery L. Hollingsworth; Melinda A. Kahre,2026,Icarus,journal-article,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.1016/j.icarus.2025.116833
10.1016/s0262-4079(26)00696-2,Martian living,Alison Flood,2026,New Scientist,journal-article,False,Discovery candidate — not screened,Dichotomy,,,,https://doi.org/10.1016/s0262-4079(26)00696-2
10.1029/2025gc012641,3D Local Measurement of the Magnetic Field Strength Inside Martian Meteorite NWA 7034 by Polarimetric Neutron Imaging,Cédric Holme Qvistgaard; Estrid Buhl Naver; Alexander Wolfertz; Vahid Karimi; Takenao Shinohara; Joseph Don Parker; Tetsuya Kai; Hirotoshi Hayashida; Søren Schmidt; Luise Theil Kuhn,2026,"Geochemistry, Geophysics, Geosystems",journal-article,False,Discovery candidate — not screened,Meteorite magnetism; Meteorite provenance,,,,https://doi.org/10.1029/2025gc012641
10.1029/2025gl118933,"Quantifying High‐Frequency Migrating Tides in the Atmosphere of Mars With Observations From EMIRS, Curiosity and Perseverance",Aishwarya Kumar; Scott L. England; R. John Wilson; Amanda S. Brecht,2026,Geophysical Research Letters,journal-article,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.1029/2025gl118933
10.1029/2025ja034918,Statistical Study of Short Large‐Amplitude Magnetic Structures at Mars Observed by MAVEN,Tsz Kiu Wong Chan; Tomas Karlsson; Sofia Bergman,2026,Journal of Geophysical Research: Space Physics,journal-article,False,Discovery candidate — not screened,Magnetism; Atmosphere,,,,https://doi.org/10.1029/2025ja034918
10.1029/2025je009107,"In Situ Carbonation of Sedimentary and Igneous Rocks of Ultramafic Composition in Jezero Crater, Mars",E. Clavé; O. Beyssac; P. Beck; C. Royer; L. Mandon; N. Mangold; O. Forni; E. Dehouck; C. Bedford; A. Udry; S. Schröder; S. Bernard; C. Quantin‐Nataf; M. Loche; J. Aramendia; A. Brown; G. Caravaca; E. Cardarelli; L. Coloma; S. A. Connell; T. Fouchet; J. R. Johnson; G. Lopez‐Reyes; J. M. Madariaga; J. A. Manrique; S. Maurice; P.‐Y. Meslin; S. Le Mouélic; A. M. Ollila; P. Pilleri; C. Pilorget; K. Rammelkamp; F. Seel; J. I. Simon; U. Wolf; A. Zastrow; S. Clegg; O. Gasnault; R. C. Wiens; A. Cousin,2026,Journal of Geophysical Research: Planets,journal-article,False,Discovery candidate — not screened,Missions,,,,https://doi.org/10.1029/2025je009107
10.1029/2025je009353,Shortwave Infrared Microimaging Spectroscopy of the Martian Meteorites,J. K. Miura; B. L. Ehlmann; R. Greenberger; E. Cutts,2026,Journal of Geophysical Research: Planets,journal-article,False,Discovery candidate — not screened,Meteorite magnetism,,,,https://doi.org/10.1029/2025je009353
10.1029/2025je009393,Ferromagnesian Clay Diversity Across Mars' Crustal Dichotomy: A Window Into Early Aqueous Environments,Jeremy Brossier; Francesca Altieri; Maria Cristina De Sanctis; Alessandro Frigeri; Marco Ferrari; Simone De Angelis; Enrico Bruschini; Monica Rasmussen; Janko Trisic Ponce,2026,Journal of Geophysical Research: Planets,journal-article,True,Abstract consulted,Surface and evolution,Orbital observations document diverse clay-bearing terrains along the dichotomy region.,Tests heterogeneous alteration histories and substrate composition.,"Spectral exposure, dust and observational coverage bias comparisons between hemispheres.",https://doi.org/10.1029/2025je009393
