case,role,altitude_km,inside_R,outside_inner_R,outside_outer_R,radius_scale,inside_nT,outside_nT,ratio,matched_ratio,common_support_fraction
Newton,Primary crater case,130,0.6,1.2,1.8,0.9,135.89523562874646,198.70774866343803,0.6838949992781586,1.7777103829662027,1.0
Newton,Primary crater case,130,0.6,1.2,1.8,1.0,138.665526900009,207.63186907497396,0.6678431760874731,1.6016976423111566,1.0
Newton,Primary crater case,130,0.6,1.2,1.8,1.1,143.20335730833443,212.0244979189817,0.6754094867049513,1.5395009722004454,1.0
Newton,Primary crater case,130,0.6,1.2,2.0,0.9,135.89523562874646,204.9067659592226,0.6632052142962924,1.5696985644084271,1.0
Newton,Primary crater case,130,0.6,1.2,2.0,1.0,138.665526900009,211.6648603653014,0.6551183160997691,1.5170619166313966,1.0
Newton,Primary crater case,130,0.6,1.2,2.0,1.1,143.20335730833443,216.86469394348083,0.6603350444201674,1.5226947755010956,1.0
Newton,Primary crater case,130,0.6,1.5,2.5,0.9,135.89523562874646,219.98172255411856,0.6177569393080571,1.4737945208152052,1.0
Newton,Primary crater case,130,0.6,1.5,2.5,1.0,138.665526900009,228.842489298044,0.6059430979157516,1.3635722793975305,1.0
Newton,Primary crater case,130,0.6,1.5,2.5,1.1,143.20335730833443,236.18685492765573,0.6063138329700769,1.1906044835396559,1.0
Newton,Primary crater case,130,0.8,1.2,1.8,0.9,145.02821158072666,198.70774866343803,0.7298568503554873,1.8971831967267272,1.0
Newton,Primary crater case,130,0.8,1.2,1.8,1.0,152.1109796177982,207.63186907497396,0.7325993851303834,1.6129009937191066,1.0
Newton,Primary crater case,130,0.8,1.2,1.8,1.1,152.64042563361963,212.0244979189817,0.7199188166074386,1.3452677873049967,1.0
Newton,Primary crater case,130,0.8,1.2,2.0,0.9,145.02821158072666,204.9067659592226,0.7077765875705049,1.6751917347485907,1.0
Newton,Primary crater case,130,0.8,1.2,2.0,1.0,152.1109796177982,211.6648603653014,0.7186406820446141,1.533053561207268,1.0
Newton,Primary crater case,130,0.8,1.2,2.0,1.1,152.64042563361963,216.86469394348083,0.7038509720415842,1.318799160612137,1.0
Newton,Primary crater case,130,0.8,1.5,2.5,0.9,145.02821158072666,219.98172255411856,0.6592739155638155,1.5728423634749529,1.0
Newton,Primary crater case,130,0.8,1.5,2.5,1.0,152.1109796177982,228.842489298044,0.6646972775221351,1.3709913861009473,1.0
Newton,Primary crater case,130,0.8,1.5,2.5,1.1,152.64042563361963,236.18685492765573,0.6462697751759874,1.0519547019235767,1.0
Newton,Primary crater case,130,1.0,1.2,1.8,0.9,156.1691678342349,198.70774866343803,0.7859238951911584,1.5223069727022593,0.9999999999999998
Newton,Primary crater case,130,1.0,1.2,1.8,1.0,161.056185235033,207.63186907497396,0.7756814305653488,1.2348862224806538,1.0
Newton,Primary crater case,130,1.0,1.2,1.8,1.1,165.79080194746805,212.0244979189817,0.7819417264264418,1.1117635204036798,0.9999999999999999
Newton,Primary crater case,130,1.0,1.2,2.0,0.9,156.1691678342349,204.9067659592226,0.7621474435124963,1.4073534998010824,0.9999999999999998
Newton,Primary crater case,130,1.0,1.2,2.0,1.0,161.056185235033,211.6648603653014,0.7609018566287975,1.1866711265353957,1.0
Newton,Primary crater case,130,1.0,1.2,2.0,1.1,165.79080194746805,216.86469394348083,0.764489594561097,1.0775412741874535,0.9999999999999999
Newton,Primary crater case,130,1.0,1.5,2.5,0.9,156.1691678342349,219.98172255411856,0.7099188333513259,1.297265319347141,0.9999999999999998
Newton,Primary crater case,130,1.0,1.5,2.5,1.0,161.056185235033,228.842489298044,0.7037861969123826,1.0445185509475192,1.0
Newton,Primary crater case,130,1.0,1.5,2.5,1.1,165.79080194746805,236.18685492765573,0.7019476253166161,0.8826223257087955,0.9999999999999999
Newton,Primary crater case,150,0.6,1.2,1.8,0.9,124.65796613593943,163.3595139305457,0.7630897223955949,1.7007004057691169,1.0
Newton,Primary crater case,150,0.6,1.2,1.8,1.0,126.46710700697345,169.89193377163238,0.7443973601299383,1.5384484757781376,1.0
Newton,Primary crater case,150,0.6,1.2,1.8,1.1,129.4728584555324,173.80409239895815,0.7449356149700679,1.4501069703409766,1.0
Newton,Primary crater case,150,0.6,1.2,2.0,0.9,124.65796613593943,168.00920737770716,0.7419710388591482,1.516440618704624,1.0
Newton,Primary crater case,150,0.6,1.2,2.0,1.0,126.46710700697345,173.49973498781608,0.7289181566522538,1.4411924915888872,1.0
Newton,Primary crater case,150,0.6,1.2,2.0,1.1,129.4728584555324,178.19967185313067,0.7265605885191633,1.4101606965576907,1.0
Newton,Primary crater case,150,0.6,1.5,2.5,0.9,124.65796613593943,180.72515718705458,0.6897654320860026,1.3801082268000207,1.0
Newton,Primary crater case,150,0.6,1.5,2.5,1.0,126.46710700697345,188.3251436627048,0.6715359645947188,1.265439788190248,1.0
Newton,Primary crater case,150,0.6,1.5,2.5,1.1,129.4728584555324,194.81587815930266,0.6645908930978475,1.1246574455771785,1.0
Newton,Primary crater case,150,0.8,1.2,1.8,0.9,130.4463347616213,163.3595139305457,0.79852303439812,1.779670736952791,1.0
Newton,Primary crater case,150,0.8,1.2,1.8,1.0,134.99543135651712,169.89193377163238,0.7945958843341974,1.539100860096676,1.0
Newton,Primary crater case,150,0.8,1.2,1.8,1.1,134.8966122359813,173.80409239895815,0.7761417488739749,1.3028945557338072,1.0
Newton,Primary crater case,150,0.8,1.2,2.0,0.9,130.4463347616213,168.00920737770716,0.776423725804268,1.5868550300102549,1.0
Newton,Primary crater case,150,0.8,1.2,2.0,1.0,134.99543135651712,173.49973498781608,0.7780728389354433,1.4478847533108345,1.0
Newton,Primary crater case,150,0.8,1.2,2.0,1.1,134.8966122359813,178.19967185313067,0.7569969733006071,1.262149166391937,1.0
Newton,Primary crater case,150,0.8,1.5,2.5,0.9,130.4463347616213,180.72515718705458,0.7217940036240026,1.4441921791351897,1.0
Newton,Primary crater case,150,0.8,1.5,2.5,1.0,134.99543135651712,188.3251436627048,0.7168210719557312,1.2686837985428139,1.0
Newton,Primary crater case,150,0.8,1.5,2.5,1.1,134.8966122359813,194.81587815930266,0.6924313023688714,1.0171686836955938,1.0
Newton,Primary crater case,150,1.0,1.2,1.8,0.9,137.300568987587,163.3595139305457,0.8404810083235313,1.488184642089668,0.9999999999999998
